Word,Term,Affix,PartOfSpeech,Definition,Root Word
umikak,ikak,UM Infix,Transitive Verb,"vt.  defeat, beat in a race, finish first. Ma ikak yu' gi karera asta i iskuela. They defeated me in the race to the school Hu ikak håo chumotchu. I beat you eating (I finished first).",ikak
umikspekta,ikspekta,UM Infix,Transitive Verb,vt.  expect. In ikspekta i gubietnu na u fåttu gi sirimoñias agupa'. We expect the governor to come to the ceremony tomorrow. Ti taiguennåo na kinimprendi in ikspekta ginin esti na gurupu. We did not expect that kind of understanding from this group. Variant: ekspekta.,ikspekta
umilåo,ilåo,UM Infix,Transitive Verb,"vt.  look for, search, spy. Hagas ha' ma'ilåo håo. You have been searched for for a long time Ma ilåo i patgun gi uriyan guma'. They looked for the child around the house. Manilåo si Henry pånglåo gi madduk. Henry looked for crabs in the hole. Ya‑ña si Mariano umilåo si Ana yan Maria. Mariano likes to spy on Ana and Maria. See: aligåo, ispiha.",ilåo
umilihi,ilihi,UM Infix,Transitive Verb,"vt.  elect, designate for office by a majority or plurality vote, select, choose, appoint, pick out. Ma'ilihi yu' para kaheran i tendan Joeten. I was designated to be a head cashier at Joeten. I taotåo umilihi i animu yan unestu na amigu‑hu. The people elected my hard working and honest friend. Manma'ilihi ham para ufisiålis gi kumite. We were appointed to be the officials in the committee. From: Sp. elige.",ilihi
umiluyi,iluyi,UM Infix,Transitive Verb,"vt.  think through, study, analyze, use the head. Ha iluyi taimanu kinalamten‑ña i sakki, pues ha gacha'. He analyzed the movement of the thief, then he caught him. Ma iluyi håfa na bula asuli gi susonyan Susupi. They studied why there is an abundance of eel at Susupe swamp.",iluyi
umimbåtga,imbåtga,UM Infix,Transitive Verb,vt.  claim or take for oneself (something not owned by the claimant). Mungnga ma'imbåtga håo ni ti idehå‑mu. Do not claim ownership of an idea that is not yours. Håfa na un imbåtga håo nu esti ya ti iyom‑mu? Why did you claim this as yours but it's not? Reflexive verb. From: Sp. embarga.,imbåtga
umimbåtga,imbåtga,UM Infix,Transitive Verb,"vt.  trust, depend, entrust, have faith. Hu imbåtga yu' gi manunestu na tåotåo. I have trust in honest people. Ha imbåtga gui' na para u fanggånna. He was depending on the fact that he might win. Ha imbåtga i hinemlo'‑ña gi mediku. He put his health in the hands of the doctor. Reflexive verb. Variant: båtga. From: Sp. embarga.",imbåtga
umimbåtga,imbåtga,UM Infix,Transitive Verb,vt.  claim or take for oneself (something not owned by the claimant). Mungnga ma'imbåtga håo ni ti idehå‑mu. Do not claim ownership of an idea that is not yours. Håfa na un imbåtga håo nu esti ya ti iyom‑mu? Why did you claim this as yours but it's not? Reflexive verb. From: Sp. embarga.,imbåtga
umimbåtga,imbåtga,UM Infix,Transitive Verb,"vt.  trust, depend, entrust, have faith. Hu imbåtga yu' gi manunestu na tåotåo. I have trust in honest people. Ha imbåtga gui' na para u fanggånna. He was depending on the fact that he might win. Ha imbåtga i hinemlo'‑ña gi mediku. He put his health in the hands of the doctor. Reflexive verb. Variant: båtga. From: Sp. embarga.",imbåtga
umimbenta,imbenta,UM Infix,Transitive Verb,"vt.  invent, contrive something new, create. From: Sp. inventa.",imbenta
umimbesti,imbesti,UM Infix,Transitive Verb,"vt.  challenge, attack, assail, defy. Ha embesti i patgun si tatå‑ña. The child defied his dad. Mungnga ma'imbesti i amko'‑mu. Do not challenge your elders. I istudiånti ha imbesti i ma'estra. The student attacked the teacher. From: Sp. embiste.",imbesti
umimbistiga,imbistiga,UM Infix,Transitive Verb,"vt.  investigate, probe, search, examine closely, inquire, scan, sift. Ma imbistiga anai fåtta mås ki miyon na salåppi' gi sobri. He was investigated when more than one thousand dollars was missing in the envelope. Kada råtu ma imbistiga låo ti siña ma sotda' na guiya lachi. She was frequently investigated but never found to be at fault. See: abirigua. From: Sp. investiga.",imbistiga
umimbita,imbita,UM Infix,Transitive Verb,vt.  invite. Imbita todu i manmalagu' mañåonåo gi botasion. Invite all who wish to join the election. See: kumbida.,imbita
umimboku,imboku,UM Infix,Transitive Verb,"vt.  save, put aside. Imboku ennåo i dididi' na salåppi'. Put aside that small amount of money. Ha imboku si nåna i singkuenta pesus para chinchule'‑ña. Mother saved her fifty dollars for her donation. Hu imboku palu tinala' kåtni para i fiesta. I put aside the rest of the dried meat for the fiesta.",imboku
umimbutiyi,imbutiyi,UM Infix,Transitive Verb,"vt.  do inlaid work, do raised or embossed work. Si Maria måolik nu i imbutiyi na cho'chu'. Maria is good in doing inlaid work. Ti libiånu esti i imbutiyi na cho'chu'. Embossed work is not easy.",imbutiyi
umimigrånti,imigrånti,UM Infix,Transitive Verb,vt.  immigrate. I pilgrims ma imigrånti giya Estadus Unidus. The pilgrims were immigrants to the United States.,imigrånti
umimpanåda,impanåda,UM Infix,Transitive Verb,"vt.  strange look, doubtful look (slang). Ti ha honggi na guaha ga'‑hu fanihi, sa' ha atan impanånada yu'. She did not believe that I have a pet fruit bat, because she was giving me a doubtful look. See: atan buñelus.",impanåda
umimpåtma,impåtma,UM Infix,Transitive Verb,"vt.  couple, patch, mend, splice, join together, sew up. I sastri ha impåtma i katsunes‑su. The tailor mended my pants. Ha impåtma i dos bånda gi kueyu. She joined together the two sides of the collar. Kåo siña un impåtma i madduk chinina‑hu? Will you patch the hole on my shirt?",impåtma
umimpåtti,impåtti,UM Infix,Transitive Verb,"vt.  transmit, pass on, impart. Lameggai siha na tiningu’ ma impåtti giya guåhu para bai hu atituyi yan adahi. A good number of knowledge was imparted to me to heed and protect. I maga'låhi ha impåtti giya hamyu esti na obligasion. The leader has imparted to you this obligation. From: Sp. imparte.",impåtti
umimpeña,impeña,UM Infix,Transitive Verb,"vt.  1) lease, let by contract. I tata ha impeña dididi' gi tanu' familia. The father leased a small part of the family land. 2) pawn. Ha impeña todu i alas nåna si Mariana. Mariana pawned all of mother’s jewelry. Kuntodu kosas hålum guma' ma'impeña. Even the house furniture was pawned. 3) mortgage. Si tåta ha impeña i tanu' gi bangku. Father mortgaged the property to the bank. Ma'impeña i gima'‑måmi anai mandibi yu'. I mortgaged our house when I took out a loan. Kuntodu i aras ha impeña i palåo'an. The woman mortgaged even her wedding coin. From: Sp. empeña.",impeña
umimplåsta,implåsta,UM Infix,Transitive Verb,"vt.  apply a poultice to, soak (wound) in liquid. Chinachak i addeng‑hu, pues hu implåsta gi hanum maipi. I cut my foot so I soaked the wound in lukewarm water. Implasta tokuhon i appling na kannai‑mu. Apply tokuhon poultice to your sprained hand. Implåsta i chetnut o sino mama'chigu'. Apply a poultice to the wound or else it might get infected. From: Sp. emplasta.",implåsta
umimplåsta,implåsta,UM Infix,Transitive Verb,"vt.  smear, blot out, smudge, daub, raze. Ha implåsta ni tinta i dokumentu. He smeared the ink all over the document. Håyi umimplåsta i chatku gi chinina? Who smudged the stain on the shirt? Guiya u implåsta pintura gi liga. She is the one who will daub the wall with paint. From: Sp. emplasta.",implåsta
umimplåsta,implåsta,UM Infix,Transitive Verb,"vt.  apply a poultice to, soak (wound) in liquid. Chinachak i addeng‑hu, pues hu implåsta gi hanum maipi. I cut my foot so I soaked the wound in lukewarm water. Implasta tokuhon i appling na kannai‑mu. Apply tokuhon poultice to your sprained hand. Implåsta i chetnut o sino mama'chigu'. Apply a poultice to the wound or else it might get infected. From: Sp. emplasta.",implåsta
umimplåsta,implåsta,UM Infix,Transitive Verb,"vt.  smear, blot out, smudge, daub, raze. Ha implåsta ni tinta i dokumentu. He smeared the ink all over the document. Håyi umimplåsta i chatku gi chinina? Who smudged the stain on the shirt? Guiya u implåsta pintura gi liga. She is the one who will daub the wall with paint. From: Sp. emplasta.",implåsta
umimpleha,impleha,UM Infix,Transitive Verb,"vt.  employ, hire. Tåya' para u fanma'impleha på'gu na tiempu. No one is hiring these days. Ngai'an ni para un ma'impleha? When will you be employed? Båba i ikonomiha, pues tåya' malagu' manimpleha. No one wants to hire because of the bad economy. From: Sp. emplea.",impleha
umimpleha,impleha,UM Infix,Transitive Verb,"vt.  employ. Malagu' si Maria para u ma'impleha gi iskuela. Maria wants to be employed at the school. Si Ramona humålum gi kulehu para u istudia put mediku, sa' gof malagu' ma'impleha para doktu. Ramona went to college to study medicine, because she wants to be employed as a doctor. From: Sp. emplea.",impleha
umimpleha,impleha,UM Infix,Transitive Verb,"vt.  employ, hire. Tåya' para u fanma'impleha på'gu na tiempu. No one is hiring these days. Ngai'an ni para un ma'impleha? When will you be employed? Båba i ikonomiha, pues tåya' malagu' manimpleha. No one wants to hire because of the bad economy. From: Sp. emplea.",impleha
umimpleha,impleha,UM Infix,Transitive Verb,"vt.  employ. Malagu' si Maria para u ma'impleha gi iskuela. Maria wants to be employed at the school. Si Ramona humålum gi kulehu para u istudia put mediku, sa' gof malagu' ma'impleha para doktu. Ramona went to college to study medicine, because she wants to be employed as a doctor. From: Sp. emplea.",impleha
umimplehu,implehu,UM Infix,Transitive Verb,"vt.  employ. Ma'implehu si Martin gi gubetnu para mama'tinas lamasa. Martin was an employee with the government making tables. Si Ramon malagu' ma'implehu gi iskuela para mañugun bås. Ramon wants to be employed by the school as a bus driver. Variant: implehåo, implihåo.",implehu
umimpotta,impotta,UM Infix,Transitive Verb,vt.  import. I pigas ma'impotta ginin Amerika yan Filipinas na lugåt. Rice is imported from America and the Philippines. I kamabuku na låta ma'impotta ginin Hapon. The can of kamabuku is imported from Japan. From: Sp. importa.,impotta
umimpresa,impresa,UM Infix,Transitive Verb,vt.  impress.,impresa
umimprinta,imprinta,UM Infix,Transitive Verb,"vt.  imprint, impress, print. Si Kyle ha imprinta i na'ån‑ña gi me'nan i pettan i iskuela. Kyle printed his name on the front of the door at school. I implihåo mayot ha imprinta impottånti na infutmasion ya ma po'lu gi kada tenda. The Mayor's employees printed important information and posted it at the stores. From: Sp. imprenta.",imprinta
umina,ina,UM Infix,Transitive Verb,"vt.  illuminate, spot with light, shine on. Hu ina i patgun ni dengki'. I shined the flashlight on the child. Na'fanina todu i kandit ya u ma'lak i lugåt. Turn on all the lights to brighten the place up.",ina
uminbatga,inbatga,UM Infix,Transitive Verb,"vt.  claim as if, assert something factual. Ha inbatga na lachi mapula'‑ña i palåbra gi diksinåriu. She asserted that the translation of the word in the dictionary is wrong. Ti hu kumprendi håfa na un fa' kadu' iyom‑mu i ti iyom‑mu, ya sigi ha' un inbatga na hågu i magåhit na dueñu. I can't comprehend why you claim as if you own what you really don't, and you continue to claim that you are the true owner. Ma inbatga na ti siña matulaika i kosas ya para siha ha' u tinilaika. They asserted that no one shall change the item and that they are the only ones that could do so. Variant: imbåtga. From: Sp. embarga.",inbatga
umindika,indika,UM Infix,Transitive Verb,"vt.  indicate, denote, show, manifest, designate. I muhon umindidika i mineddung tano'‑hu. The markers indicate the size of your land. Todo i kuåttru iskina ha indidika ma'o'opagat. All the four corners indicated are not straight. From: Sp. indica.",indika
umindotsa,indotsa,UM Infix,Transitive Verb,vt.  endorse. I pattidan republikan ma indotsa yu' para kandidåtu. The republican party endorsed my candidacy. From: Sp. endosa.,indotsa
uminfisisa,infisisa,UM Infix,Transitive Verb,"vt.  enforce, emphasize. Infisisa i leksion. Emphasize the lesson. Infisisa put fabot na u ma'usa i lingguahi‑ta. Please emphasize the use of our language. Ma'infisisa na todu i implehåo u fanggai diploma åntis di u fanmacho'chu'. It is enforced that every employee get their diploma before working.",infisisa
uminfotma,infotma,UM Infix,Transitive Verb,"vt.  inform, acquaint, apprise, notify. Ma'infotma yu' put i ha'ånin kottek‑ku. I was informed about my court hearing. From: Sp. informa.",infotma
Ingkumola,Ingkola,UM Infix,Transitive Verb,"vt.  bleach, whiten, blanch, make white or whiter, esp. in the sun. Si nåna ha Ingkola i såbanas å'paka'. Mother bleached the white sheets in the sun. Ingkola fan i medyas‑su å'paka'. Please whiten my white socks under the sun. Ingkola i fañelan Jonakin sa' gai chatku. Blanch Jonakin’s T-shirt because it has a stain.",Ingkola
uminhuria,inhuria,UM Infix,Transitive Verb,"vt.  revile, reproach. See: kalumnia. From: Sp. injuria.",inhuria
uminsåtta,insåtta,UM Infix,Transitive Verb,"vt.  draw string or thread through, pass a thread through the eye of, make a collection by stringing (things) on a wire or thread. I famagu'un manmafa'nå'gui manmaninsåtta kulålis para kadena. The children were taught to string beads for a necklace. I peskadót ha insåtta i kinenne'‑ña guihan. The fisherman used wire to string his catch. Si tåta ha insåtta i kåtni para matåla'. Father strings the meat on skewers to dry.",insåtta
uminsima,insima,UM Infix,Transitive Verb,"vt.  put in (money) as shares, donate, add in. Maila' ya ta fanensima para i gipot‑ta. Let’s add in for our party. Esta hu insima dididi' gi bangku para i patgon‑hu. I put money in the bank for my child. Guaha prublema annai hu na'ensima pulitika gi huntan mañaina. There were problems when I added events of the politics during our parents meeting. From: Sp. encima.",insima
uminsisti,insisti,UM Infix,Transitive Verb,"vt.  insist, urge, demand persistently. Hu insisti na un ekkunguk. I urge you to listen. Ha insisti para u hånåo. He insisted that he should go. Ha insisti si Juan para bai in asagua. Juan insisted for us to get married. From: Sp. insiste.",insisti
uminspekta,inspekta,UM Infix,Transitive Verb,vt.  inspect. Ma inspekta i gima'. They inspected the house. Ha inspekta i gellai gi tenda. He inspected the vegetables at the store.,inspekta
uminsutta,insutta,UM Infix,Transitive Verb,"vt.  insult, mock, deride. Mungnga yu' ma'insutta. Don’t insult me. Dispensa. Ti hu åsngun na para bai insutta håo. I am sorry. I did not intend to insult you. From: Sp. insulta.",insutta
umintensiona,intensiona,UM Infix,Transitive Verb,vt.  intend. Ti hu intensiona na bai hånåo. I don’t intend to go. Hu intensiona para bai kuentusi håo. I intend to talk to you. Ha intensiona måolik para hågu. He intended something good for you.,intensiona
umintrega,intrega,UM Infix,Transitive Verb,"vt.  deliver (to), submit (to), yield, release, hand over (to), present. Hu intrega håo nu i che'cho'‑ta. I handed over our work to you. Hu intrega hålum i che'cho'‑ta esta. I submitted our work. Håyi umintrega håo nu i salåppi' para i hagå‑mu? Who presented you with the money for your daughter? Syn: nå'i, presenta. From: Sp. entrega.",intrega
umintrodusi,introdusi,UM Infix,Transitive Verb,"vt.  introduce, lead. Put fabot introdusi i che'lu‑mu. Please introduce your brother. From: Sp. introduce.",introdusi
uminturompi,inturompi,UM Infix,Transitive Verb,"vt.  interrupt, interfere abruptly. Mungnga na un inturompi ham. Don’t interrupt us. Mangåti i famagu'un mandikiki' anai ma'inturompi i huegun‑ñiha ni manbåstus na hobinsitu. The little children cried when their game was interrupted by the rough adolescents. Ma'inturompi i silensiun hinassok‑ku anai mana'tungu' yu' un makkat na nutisia. My silent thought was interrupted when I received a difficult message. Påra i bision‑mu maninturompi gi ti konbitsasion‑mu. Stop your habit of interfering in conversations that are not yours. From: Sp. interrumpe.",inturompi
umipi',ipi',UM Infix,Transitive Verb,"vt.  cut open, split. Ipi' i niyuk. Split the coconut. Ipi' talu' i mangga. Cut the mango in half. Ipi' i atchu'. Split the rock in half.",ipi'
umisagui,isagui,UM Infix,Transitive Verb,"vt.  offend, transgress, hurt someone's feeling, displease. Un isagui yu' nu i fino'‑mu. Your words hurt my feelings. Syn: ufendi.",isåo
umisgaihun,isgaihun,UM Infix,Transitive Verb,"vt.  escort; watch over, guide, accompany as an escort, lead the way for. Si Bernie para u inisgaihun gui'. Bernie will escort her. Isgaihun si nåna para i gima' Yu'us. Accompany mom to the church. Kåo sina un isgaihun i fila para i lamasan chumotchu? Can you lead the way to the food table? Syn: pipit, akumpåna, chungi.",isgaihun
umiskandilisa,iskandilisa,UM Infix,Transitive Verb,vt.  scandalize. Eskandilisa ennåo na fina'tinas. That is an act of scandalize. Todus fina'tinas sino che'chu' eskandilisa ti måolik. All scandalize act are not good. From: Sp. escandaliza.,iskandilisa
umiskapåyi,iskapåyi,UM Infix,Transitive Verb,"vt.  escape, avoid, evade, elude. Si tatå‑hu ha iskapåyi i ottru na kareta. My father avoided the other car. Iskapåyi todu piligru na cho'chu'. Avoid all dangerous work.",iskapåyi
umisketyu',isketyu',UM Infix,Transitive Verb,vt.  schedule (something). I doktok‑ku ha isketyu' yu' para bai hu ma'opera gi Måyu diha dossi gi egga'an. My doctor scheduled me for an operation on May twelfth in the morning. From: Eng. schedule.,isketyu'
umiskohi,iskohi,UM Infix,Transitive Verb,"vt.  1) pay due attention, defer, hope to avoid. Debi di un iskohi si tatå‑mu, sa' amko'‑mu. You must pay due attention to your father, because he is your elder. Hu iskokohi na bai in asudda' yan i pulisiha gi chalan, sa' gumimin yu' dididi' atkohot. I am hoping to avoid meeting the policeman on the road, because I drank a little alcohol. 2) open-mouthed when talking; not thinking of the consequences at the receiving end of the communication. Humånanåo ha' hålum si Jose gi hunta ya ti ha iskokohi i håfa madiskukuti gi hilu' lamasa. Jose went right into the meeting without paying attention to what was being discussed at the table. Si Francisco na tåotåo yanggin kumuentus, ha såsangan ha' håfa malago'‑ña, ti ha iskokohi kåo ha na'puputi i ottru tåotåo siha. When Francisco talks, he says whatever he wants without thinking whether others would be hurt.",iskohi
umispånta,ispånta,UM Infix,Transitive Verb,"vt.  threaten, menace, frighten, scare. Ti humånåo yu' gi giput, sa' ha ispånta yu' i bulan tåotåo. I did not go to the party because I was frightened by the large crowd. Kumåti i patgun sa' inispånta ni katu. The baby cried because the cat scared him. Syn: fa'ñagui, hongngang, aminåsa. From: Sp. espanta.",ispånta
umispeki,ispeki,UM Infix,Transitive Verb,"vt.  pry; raise, move, or pull (apart) with a pry. I labandera ha ispeki i talin fanalå'an magågu. The launderer raised the clothesline. Ma usa i dinga' tangantångan para ispeki trongkun chotda. A fork-shaped tangantangan tree is used to raise the banana tree. Hu ispeki i tampin i kahun ni krobar. I pried the crate open with a crowbar.",ispeki
umispiha,ispiha,UM Infix,Transitive Verb,"vt.  1) seek, search, look for, locate. Ma'ispipiha håo gi as nanå‑mu. Your mother is looking for you.- Ayuda yu' umispiha i antios‑su. Help search for my eyeglasses. Kåo un ispiha i switch? Did you locate the light switch? Ispiha i bola. Look for the ball. Humånåo manispiha chi'cho'‑ña. He went to seek a job. Syn: aligåo, buska, båndu. 2) spy, watch secretly. Guaha siha na tåotåo ispiha che'chu'‑ñiha. Some people work as spies. Bula Chamorro mana'fanispiha duråntin i gera. A lot of Chamorros were made spies during the war. Variant: espiha. From: Sp. espia.",ispiha
umispiyu,ispiyu,UM Infix,Transitive Verb,vt.  use a carpenter's plane on. Ispiyu i tapbla. Plane the lumber. Variant: supiyu.,ispiyu
umisplika,isplika,UM Infix,Transitive Verb,vt.  explain. Isplikan måolik håfa un keke'sangan. Clearly explain what you are trying to say. Ekkunguk yanggin ma'isplika i direksion. Listen when the direction is explained. Variant: eksplika. From: Sp. explica.,isplika
umisplikåyi,isplikåyi,UM Infix,Transitive Verb,"vt.  interpret for, translate for. Hu isplikåyi i mañaina put i leksion siha. I interpreted the lessons to the parents. Ha isplikåyi håfa matutugi' gi papit. She translated what was written on the paper. Manma'isplikåyi i manåmku' håfa para u macho'gui guihi na ha'åni. It was interpreted to the elders what was to be done on that day.",esplika
umistablesi,istablesi,UM Infix,Transitive Verb,"vt.  establish, set up, found, decree, ordain, start. Ma istablesi siha esta giya California. They established themselves in California. Guaha esta ma'establesi areklamentu put ennåo na asuntu. A regulation has been set up for that purpose. From: Sp. establece.",istablesi
umiståmpa,iståmpa,UM Infix,Transitive Verb,"vt.  stamp, put a stamp on. Na'ma'iståmpa i dokumentu. Have the document stamped. Ma'iståmpa i katta anai marisibi. The letter was stamped when received. Syn: iståmpu'. From: Sp. estampa.",iståmpa
umiståmpu',iståmpu',UM Infix,Transitive Verb,"vt.  stamp, mark, distinguish. Para un iståmpu' i pahina gi lepblu. You will stamp the page in the book.",iståmpu'
umistani,istani,UM Infix,Transitive Verb,"vt.  1) fool, joke with. Ti siña ma'istani si Jose sa' esta menhalum put ennåo na asuntu siha. Jose cannot be fooled because he is already very knowledgeable about that subject. Ha istani yu' ya estagui' på'gu na ti hu angokku esta. He fooled me so now I do not trust him. Båsta fan umistani si nåna. Will you stop joking with mother. 2) commit illicit sexual action with, commit incest with, rape. Kumeha i patgun gi as nanå‑ña na ma'istani gui' gi gima' amigå‑ña. The child reported to her mother that she was raped at her friend's house. Ma'isposa i taotåo sa' ha istani i patgun. The man was handcuffed because he committed sexual abuse of a child.",essitan
umistiba,istiba,UM Infix,Transitive Verb,"vt.  stockpile, store up. Manma'istiba i katga gi halum soku. The cargos are stored up in the warehouse. Kåo siña un istiba i lepblu siha gi istånti? Can you stockpile the books on the shelf?",istiba
umistila,istila,UM Infix,Transitive Verb,"vt.  distill, obtain by or as if by distillation. Hu fåhan i ma'istila na galon hånum. I purchased a distilled water bottle. Hu li'i' taimanu ma'istilå‑ña i sitbesa. I saw the distillation process of beer. From: Sp. destila.",istila
umistira,istira,UM Infix,Transitive Verb,"vt.  stretch, expand, strain. Hu istira i deddigok‑ku. I strained my ankle. Maila' ya ta istira i orå‑ta, sa' ta na'funhåyan i che'chu'. Let us stretch our time so we can complete our task. Variant: estira. From: Sp. estira.",istira
umistotba,istotba,UM Infix,Transitive Verb,"vt.  annoy, vex, irk, bother, hinder, disturb, irritate, harass, trouble. Mungnga ma'istotba i patgun, sa' mamaigu'. Do not disturbe the child, because he is sleeping. Båsta manistotba. Stop annoying. Mapresu i bihu sa' manistotba hobensitu. The old man was jailed because he molested a youth. Syn: estråña. From: Sp. estorba.",istotba
umistråña,istråña,UM Infix,Transitive Verb,"vt.  alienate, annoy, disturb, bother, trouble, irritate, harass, irk, vex. Ha istråña yu' i finu' i ma'estru. The teacher’s statement irritated me. Mungnga ma'istråña i taotåo yanggin kumekuentus. Do not disturb someone when he is talking. Syn: istotba. From: Sp. extraña.",istråña
umistrena,istrena,UM Infix,Transitive Verb,"vt.  use, try, wear (for the first time). Hu istrena i nuebu na chinina‑hu gi Pasgua. I wore my new outfit on Christmas. I pulisiha ma istrena i nuebu na tihung‑ñiha. The policemen wore their new hats for the first time.",istrena
umistrupeha,istrupeha,UM Infix,Transitive Verb,"vt.  startle, demand at the last minute. Ti ya‑hu ma'istrupeha. I do not appreciate last minute demands. Ya‑ña umistrupeha yu' sa' akatcha na tåotåo ennåo. He enjoys startling me because he is a practical joker.",istrupeha
umistudia,istudia,UM Infix,Transitive Verb,"vt.  study, acquire knowledge, apply the mind, educate oneself. Fanistudia, båsta humugåndu. Study, stop playing. Mås manungu' yu' yanggin sigi ha' yu' manistudia. I learn more as if I continue to study. From: Sp. estudia.",istudia
umistudiåyi,istudiåyi,UM Infix,Transitive Verb,"vt.  study, do research on, analyze. Hu istudiåyi håyi fine'nena humålum iya Mariånas na islas. I researched who first came to the Mariana Islands. Istudiåyin måolik i prublema åntis di ta chuli' hålum gi kotti. Analyze the problem before we take it to court. Syn: analisa.",istudia
umiting,iting,UM Infix,Transitive Verb,"vt.  pick, break off. Iting i aga'. Pick the banana. Ya‑hu para bai iting ennåo na aga'. I like to pick that banana. Iting påpa' i hagåmham låo mungnga matifi i månha. Pull down the coconut frond but don't pick the young coconuts. See: tugan, tifi'.",iting
kumåcha',kåcha',UM Infix,Transitive Verb,"vt.  husk. Håyi para u kåcha' i niyuk? Who will husk the coconut? Bula niyuk para bai hu kåcha', sa' para bai hu tika. There are a lot of coconuts that I'm going to husk, because I'm going to make coconut oil.",kåcha'
kumåchit,kåchit,UM Infix,Transitive Verb,"vt.  wear something that is not pleasing and subject to ridicule, put on a face, dress, or anything that would indicate a show-off behavior. Un kåchit håo ni ti uså‑mu na bistidu. You dress up in a way that does not compliment you. Ya‑mu kumåchit håo ni ti kosås‑mu. You like to put on something that does not belong to you. Ha kåtchit gui' ni nuebu na sapåtus ya nina'ke'yåo, sa' mampus mafñut. She put the new shoes on and was limping, because they were too tight. Reflexive verb. See: katsa.",kåchit
kumåddu,kåddu,UM Infix,Transitive Verb,vt.  make (something) into soup. Kåddu i mannuk yan i sini. Make chicken soup with taro. Månngi' makåddu i dagun å'påka' yan månnuk. It is delicious to cook white yam with chicken soup. Variant: kåtdu.,kåddu
kumadidak,kadidak,UM Infix,Transitive Verb,vt.  tickle. Mungnga yu' makadidak. Don’t tickle me. Kadidakun yu'. I'm ticklish. I biha ha kadididak i neni. The old lady is tickling the baby.,kadidak
kuma'guas,ka'guas,UM Infix,Transitive Verb,vt.  scratch. Ka'guas i tatalo'‑hu. Scratch my back. Ha kaka'guas i katu i pettan kusina. The cat is scratching the kitchen door. Ha kaka'guas i mannuk i edda' para u fanaligåo na'‑ña. The chicken is scratching the ground to look for food. See: kassas.,ka'guas
kumåhat,kåhat,UM Infix,Transitive Verb,"vt.  lift, raise up, hoist or raise with a tackle, promote, raise (salary), build (house). Kåhat hulu' i magagu‑mu gi látatkilu' na istånti. Put your clothes up on a higher shelf. Manmakåhat hulu' i apas‑måmi gi che'chu'. Our salaries were raised at work. Para bai in kahat i gima'‑måmi gi hilu' i eksu'. We're going to build our house on top of the hill. See: hatsa, sa'ang.",kåhat
kumahatgui,kahatgui,UM Infix,Transitive Verb,"vt.  stalk, hunt stealthily. Ha kahatgui i binådu. He still-hunts the deer. Kahatgui i binådu agupa'. Still-hunt the deer tomorrow. Maila' ya ta kahatgui håfa na gå'ga' kumåkannu' i na' månnuk gi puengi. Let us hide and see what animal is eating the chicken feed at night.",kahatgui
kumahåya,kahåya,UM Infix,Transitive Verb,"vt.  save, help, rescue from danger. Si Juan ha kahiya si Jose gi kurenti. Juan saved Jose from the current. Makahiya si Felipe sa’ sumi’ i boti‑ña. Felipe was rescued, because his boat was leaking. I pulisiha manmakahiya i pupbliku gi duråntin påkyu. The police rescued the public during the typhoon. See: libri, ayuda. Variant: kahiya.",kahåya
kumahita,kahita,UM Infix,Transitive Verb,vt.  put in a box. Bai hu kahitåyi i plåtu siha ya mungnga na u fanmåffak. I'll box the plates to prevent them from breaking. See: kåhun.,kahita
kumahiya,kahiya,UM Infix,Transitive Verb,"vt.  save, help, rescue from danger. Si Juan ha kahiya si Jose gi kurenti. Juan saved Jose from the current. Makahiya si Felipe sa’ sumi’ i boti‑ña. Felipe was rescued, because his boat was leaking. I pulisiha manmakahiya i pupbliku gi duråntin påkyu. The police rescued the public during the typhoon. See: libri, ayuda. Variant: kahåya.",kahiya
kumahlang,kahlang,UM Infix,Transitive Verb,"vt.  lean (oneself) (on something), suspend (oneself) (from something). Kahlang håo mågi. Lean on me. Adahi na un kahlang håo gi petta, sa' un basnak. Don’t lean on the door, because you might fall. Reflexive verb.",kahlang
kumahnåyi,kahnåyi,UM Infix,Transitive Verb,"vt.  hex, bewitch, cast a spell on. Mungnga na un kahnåyi yu'. Don't cast a spell on me. Mungnga umessalåo gi halum tånu', sa' siempri makahnåyi håo. Do not yell inside the jungle, because you might be bewitched. Kumaduku, sa' makahnåyi. He went crazy, because he had a spell cast on him. Variant: kakahnåyi.",kahnåyi
kumahulo'gui,kahulo'gui,UM Infix,Transitive Verb,"vt.  climb on top of, get up on (something) for something. Kahulo'gui esti na trongku. Climb up this tree. Si Juan ha kahulo'gui i gima'. John climbed up on top of the house. Mungnga makahulo'gui ennåo na ladera, sa' bula sasata. Don't go climbing up that mountain, because there are a lot of wasps. Syn: feddus. See: feddus.",kahulo'
kumaikai,kaikai,UM Infix,Transitive Verb,"vt.  start to move, start preparing to go. Kaikai håo ya ta baila. Move your body and we will dance. Kaikai hamyu ya ta fanhånåo. Start to move and we'll go. Debi di un kaikai håo ya un aligåo håfa para minaolek‑mu. You have to get yourself moving and look for what is good for you. Reflexive verb.",kaikai
kumakahnåyi,kakahnåyi,UM Infix,Transitive Verb,"vt.  curse, cast a spell on (someone). Ilek‑ñiha na buenti ma kakahnåyi, sa' pokpuk matå‑ña. It was said that perhaps they cast a spell on him, because his face got swollen. Variant: kahnåyi.",kakahnåyi
