Term,Part of Speech,Definition,Source Details,Link to Source
chek,Transitive Verb,"vt.  check, examine. Chek fan i famagu'un åntis di un huyung. Please check on the children before you come out. Put fabot chek fan i chek nanå‑hu kåo esta humuyung. Please check if my mother's check has already come out. Variant: atan, ispiha. From: Eng. check.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chengli,Transitive Verb,"vt.  1) keep (something that was borrowed temporarily), fail to return (something borrowed). Ha chengli si Jose i lepblu nu i ha ayåo. Jose kept the book that he borrowed. Ha chenglin hanåo si Fulåna i pottan muneda‑hu. Fulåna took my wallet along with her. Sen siguru yu' na guiya chumengli i tilifon‑hu. I am certain he took my cell phone. 2) attach. Ha chengli i litråtu nu i liluk. He attached the picture with the nail.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chetchit,Transitive Verb,"vt.  whisper. Hu chetchit si Maria. I whispered to Maria. Hu chetchit håo, låo ti un hunguk. I whispered to you, but you didn't hear me.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chichi'i,Transitive Verb,vt.  bare one's teeth at (to show contempt). I patgun ha chichi'i i ma'estran‑ña. The child bared his teeth at his teacher. Chichi'i ha' yanggin ti ya‑mu håfa ha chocho'gui'. Just bare your teeth at me if you don't like what I am doing. I ga'lågu ha chichi'i i istrangheru. The dog bared its teeth at the stranger.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chigit,Transitive Verb,"vt.  run over (something), crowd together, clip, sandwich in, tuck in. Hu chigit i cha'ka nu i kareta gi chalan. I ran over a rat with the car on the road.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chiku,Transitive Verb,"vt.  kiss, touch or press with the lips. Ha chiku i taotåo i nobiå‑ña. The man kissed his girlfriend. Ya‑hu chumiku i nietu‑hu siha. I like to kiss my grandchildren.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chikun påkpak,Transitive Verb,"vt.  kiss on the cheek making a whistling or a smacking sound, kiss loudly. Si Matrusalen ha chikun påkpak si Corona gi hilu' trongkun nunu. Matrusalen kissed the cheek of Corona with a whistling sound up on the banyan tree. Månngi' machikun påkpak i neni. It's a good feeling when you kiss the baby loudly. Chikun påkpak kumeke'ilek‑ña chiku ni tinattitiyi påkpak na sunidu. Chikun påkpak means a kiss that is followed by a smacking sound.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chinchulu,Transitive Verb,vt.  catch (fish) in a long flat fishing net. Machinchulu i atulai gi paingi. The young mackerel were caught with the long fishing net last night.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chini'ut,Transitive Verb,"vt.  affected by, hurt by, hurt a feeling by (passive). Mungnga chini'ut ni håfa para bai hu sångan put ennåo na asuntu. Don't feel bad with what I am going to say about that matter. Chini'ut chetnot‑ña anai ha totpi i haligi. Her injury was affected when she bumped against the pole. Ti ha chu'ut yu', låo manchini'ut i pumalu, sa' ti ma kumprendi håfa kumeke'ilek‑mu. That does not hurt my feelings, but it hurt the feelings of the others, because they do not understand what you meant.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
cho'chu'3,Transitive Verb,"vt.  reach into (an opening), extend into by reaching, grab from inside (something). Hu cho'chu' hålum i madduk para bai konni' i panglåo. I reached into the hole to catch the crab. Cho'chu' hålum i kestat ya un konni' i panglåo. Reach into the sack and catch the crab. Variant: hagu'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
choffi,Transitive Verb,"vt.  block (something), shield from (something, esp. wind). Choffi i ininan åtdåo gi kannai‑mu. Block off the sunlight with your hand. Ha huchum i bintåna para u choffi i manglu'. He closed the window to block off the wind. Variant: tampi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
choffi,Transitive Verb,"vt.  push gently, push aside (a lightweight object, such as paper or a leaf). Ha choffi i atchu' nu i addeng‑ña gi chalan. He pushed the rock with his foot on the road. Ha choffi i pappit gi papa' lamasa. He pushed the paper off the table. Choffi i amåkan neni. Push the baby's hammock gently. Variant: chonnik.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
cho'gui,Transitive Verb,"vt.  do, render, perform, work. Sigi ya un cho'gui i che'cho'‑mu. Go and do your work. Hu cho'gui esta i che'cho'‑hu. I already did my work. Båsta mangguifi ya un cho'gui i che'cho'‑mu. Stop dreaming and do your work. See: bida, na'funhåyan.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
cho'guiyi,Transitive Verb,"vt.  serve, work for (someone), wait on. Cho'guiyi yu' fan nu i che'cho'‑hu. Please do my work for me. Kåo siña un cho'guiyi si Antonio nu i karetå‑ña? Can you fix Antonio's car? Håyi chumo'guiyi si Ana nu i leksion‑ña? Who did Maria's lesson? Variant: tahgui.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
cho'mi,Transitive Verb,"vt.  pour, splash, spill (something) on (someone or something). Cho'mi hånum i guafi. Pour water on the fire. Chine'mi yu' nu i fachi'. The mud splashed me. Cho'mi unai i patgun. Pour sand on the child. Variant: chuda'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chomma',Transitive Verb,"vt.  forbid, prevent, impede, obstruct, intervene, stop. Chomma' i chi'lu‑mu låhi, sa' kumeke'mumu. Stop your brother, because he is aiming to fight. I guatdia ha chomma' i taotåo anai kumeke'halum gi ofisina. The guard prevented the man as he was entering the office. Variant: na'påra, pruibi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chonnik,Transitive Verb,"vt.  push, thrust, shove, propel. Chinennik i boti ni metgut månglu'. The boat was pushed by the strong wind. Håyi chumonnik yu'? Who pushed me? Chonnik mo'na ennåo na lamasa. Push that table forward. Chonnik fan ennåo i petta kåo mababa. Could you push the door to see if it will open. Båsta mañonnik gi fila. Stop pushing on the line. Variant: su'un, aronsa.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chopchup,Transitive Verb,"vt.  suck, absorb, draw in (smoke from a cigarette or cigar), take up (moisture). Ha chopchup i neni i dama'gås‑ña. The baby sucked his thumb. Na'chinepchup i machuda' hånum gi satgi ni talåpus. Use the rag to absorb the spilled water on the floor. Guston‑ña si Miguel chumopchup i chigalu‑ña. Miguel enjoys puffing his pipe.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chotgi,Transitive Verb,"vt.  1) hand-feed. Hu chotgi i neni masan aga'. I hand-fed the baby ripe banana. 2) apply by dropper, apply liquid to (the mouth, eyes, nose, etc.) by an eyedropper or cotton that has been soaked in the solution and then squeezed. I mediku ha chotgi matå‑hu ni amut. The doctor squeezed medicine into my eyes. I nana ha chotgi i matan patgon‑ña ni amut måta. The mother applied eye medicine to her child’s eye.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chotti,Transitive Verb,"vt.  insert, squeeze (something) into. Ha chotti i amut gi halum agå'ga' i patgun, sa' nina'yi ni chetnut mahulat. She inserted medicine inside the child's throat, because he contracted disease of the throat. Chotti dididi' binakli yan asiga gi fina'denni'. Squeeze a bit of vinegar and salt in the hot pepper sauce. Variant: sotti.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chu,Transitive Verb,vt.  direct or call (a bull pulling the cart) to turn right. Si Manning ha chuchu i guaka para u bira gui' gi agapa' na chålan. Manny is directing the bull to turn to the right. Na'a'gang håo yanggin para un chu i guaka. Speak loudly when you are telling the bull to turn right.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chuda',Transitive Verb,"vt.  pour (liquid) out, empty, spill. Ha chuda' i neni i na'‑ña katdu gi basu‑ña. The baby spilled her soup from her cup. Machuda' i tangkin hånum anai sinifa' nu i karetan Juan. The water tank spilled when John crashed his vehicle into it. Machuda' i kafe anai matomba si Jose gi satgi. The coffee spilled when Jose fell down on the floor. Mañuda' bula na salåppi' si Florensia anai matitik i kestat ganggotchi ni ha nåna'na'. Floresia spilled a lot of coins when the burlap sack she was hiding ripped open. The cat spilled the milk. Cha'‑miyu chichida i amut dinalak duråntin i kareran‑miyu siha. Do not spill the gout medicine on your journey to your homes. Variant: Chinida' nu i katu i letchi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chuffla,Transitive Verb,"vt.  puff out, spit out, blow out. Ha kalammuk si Maria i guihan ya ha chuffla huyung i te'lang putno u gotgan. To avoid a bone being stuck in her throat, Maria spat out the bones of the fish she swallowed. Variant: foffu.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chuga,Transitive Verb,"vt.  stop, halt, put a stop to, make (something) end. Ha chuga i famagu'un ni manmumumu. She put a stop to the children who were fighting. Dångkulu pachot‑ña si Jose kada bulåchu ya ha nisisita machuga. Jose has a big mouth when drunk and he needs to be stopped. Maria, måolekña na un chuga' si Tomas sa' kumu guåhu bai hu paniti pachot‑ña. Maria, you had better stop Thomas because if I am to do that, I will punch his mouth. Variant: na'båsta, na'påra.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chugu',Transitive Verb,"vt.  hand-feed, feed by hand, as in feeding a baby. I nana ha chugu' i patgon‑ña nu i nengkanu'. The mother hand-fed her baby with food. Ha nisisita si Maria machugu' sa' ti siña chumotchu ni kannai‑ña na maisa. Mary needs to be hand-fed because she cannot eat with her own hands. Esta si nåna machuchugu' sa' gof åmku'. Mother needs to be hand-fed because she is very old. Maseha åmku', låo ti malagu' si tåta machugu'. Even though old, still, father does not want to be hand-fed.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chukan,Transitive Verb,"vt.  1) swing, cause to rock, cause to sway, cause to waver. Hu chukan si Pedro gi siya. I rocked Pedro in his chair. Chinikanñaihun i uma'akalayi na hugeti nu i metgut na manglu'. The hanging toy was swayed by the strong wind. Sessu bulåchu si Pedro gi tasi yanggin mampus chinichikan i boti nu i napu. Pedro frequently gets seasick when the waves cause the boat to rock too much. 2) roll (something) around in (something). Umåssun si Jose gi satgi ya ha chukan gui' gi halum guåfak. Joe lay down on the floor and rolled inside the mat. Ha chukan si Maria i patgun gi halum såbanas. Mary rolled the baby inside the blanket. Humålum si Tomas gi halum tangki ya ha chukan gui' påpa' gi eksu'. Tomas went inside a drum can and rolled down the hill. Variant: chungat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chule'guan,Transitive Verb,vt.  take (something) without permission or in a fraudulent manner. Machule'guan i patgun ni sapatos‑ña. Someone took away the boy's shoes. Ha chule'guan yu' ni machitek‑ku. He took my machete. Hu chule'guan si Luis ni pine'lon‑ña. I took Luis' safekeeping.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chule'magi,Transitive Verb,"vt.  bring here with you, bring on your way here. Chule'magi i papåya yanggin para un fåttu. Bring the papaya on your way over. Maria, kåo siña un chule'magi i balakbak‑ku? Mary, can you bring my bag while you are coming here? Mamaisin si nåna kåo siña håyi chule'magi i mamå'‑ña sa' ti siña mamokkat guatu. Mother asked if anyone can bring her betel nut over because she cannot walk over there.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chuli',Transitive Verb,"vt.  take, bring, grab, snatch, grasp, clutch, seize. Chuli' mågi i na'‑mu ya ta kånnu'. Bring your food over and we’ll eat it. Mungnga machuli' i kosas ottru yanggin ti iyom‑mu. Do not take someone’s belonging if it is not yours. Fåttu mågi ya un chuli' håfa manåna'i håo. Come over and take what has been offered to you. Chinile'guan si Fulanu fusinos‑ña nu i sakki. Fulanu's hoe was seized by the thief. Variant: risibi, aksepta.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chungat,Transitive Verb,"vt.  cut the belly of (someting) open. Hu chungat i babui nigap. I cut open the pig’s belly open yesterday. Mapunu' i guaka gi paingi ya ha chungat si tatå‑hu. They killed the cow last night and my father cut open the belly. Anai munhåyan ma go'naf i guihan, ma chungat. After they scaled the fish, they cut open the belly.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chungat,Transitive Verb,vt.  rock (someone or something) back and forth. Ha chuchungat i patgun gi amåka She is rocking the baby on the swing. Mungnga machungat i boti sa' siempri muta' yu'. Do not rock the boat for I might vomit. Bulåchu si Tomas sa' ti papara machungat i galaidi. Tomas is dizzy because of the canoe's continuous rocking. Variant: chukan.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chu'ut,Transitive Verb,"vt.  1) aggrevate a wound from contact with something. Ha totpi yu' si Juan ya ha chu'ut i chetnut gi kannai‑hu. John bumped into me and hurt the wound on my hand. Mungnga mapatcha si Tomas, sa' siempri un chu'ut i chetnot‑ña. Do not touch Tomas, because you might aggravate his wound. 2)",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chu'ut,Transitive Verb,"vt.  aggravate, hurt someone's feelings, suffer. Un chu'ut yu' nu i fino'‑mu. Your statement hurt me. Chini'ut si Juan gi as Maria anai ti mañåsåonåo gi inetnun familia. Maria hurt Juan's feelings when he was not allowed in the family gathering. I finu' tåotåo ni ti asentådu, guaha na biåhi ni chichi'ut. Insensitive comments from people can sometimes hurt people's feelings.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
då'da',Transitive Verb,"vt.  blame (oneself) for, face the consequences of. Ta na'utas i salappe'‑ta, ya mungnga na ta dåda'da' hit gi biahi‑ta. We will conserve our money, so that we won't be paying the consequences during our trip. Sigi ha' gui' mumaneska, dispues yanggin malångu, ha då'da' gui'. He continues to drink alcohol, and then when he gets sick, he pays the consequences. Reflexive verb. Variant: dadå'da'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dadå'da',Transitive Verb,"vt.  blame (oneself) for, face consequences for. Reflexive verb. Variant: då'da'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dafflokgui,Transitive Verb,"vt.  indulge (heartily), consume (too much), gorge. Ha dafflokgui gui' nu i chandiha, dispues pumuti tiyån‑ña. He indulged himself with watermelon, then he got stomach pain. Kada tiempun mångga, hu dafflolokgui i manmåsan mångga. Every mango season, I indulge in eating ripe mangos. Mungnga madafflokgui håo ni manmaipi siha na klåsin nengkanu'. Don't indulge yourself with foods that are considered not fresh for the body.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåggåo,Transitive Verb,"vt.  throw. Mungnga mana'duru daggåo‑mu ni bola. When you throw the ball, don't make it very fast. Dåggåo i pipitas gi papa' i trongku ya u fandokku'. Throw the seed under the tree so it will grow. Ha dåggåo ha' i yabi gi lamasa, ya atyu na poddung. He just threw the key on the table, and that's why it fell. Syn: yotti, yuti', blångku, foyang, tira, tariku'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dagi,Transitive Verb,"vt.  lie, not tell the truth, deceive. Ti malagu' i patgun gumimin åmut, achuka' madadagi na mamis. The child refuses to drink the medicine, even though he was tricked into thinking that it is sweet. Ilek‑ñiha i manåmku': chaddekña magacha' i mandadagi na tåotåo kini ke'yåo. It's an old saying: it's easier to catch a person who lies than a lame person. Ti siña un dagi i manåmku' nu i tiningu'‑ñiha. You cannot deceive the elders with their knowledge. See: dakun.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåkdak,Transitive Verb,"vt.  knock on, rap, strike with a quick, sharp blow. Dåkdak i pettan‑ñiha ya uma hunguk. Knock on their door so they can hear. Esti siha na famagu'un yanggin mahunguk guaha mandådakdak, mansusustu. These children become afraid when they hear someone knocking at the door. Dåkdak fan i kahita kåo tai sanhalum. Rap on the box to check if it is empty. Syn: åddak, dåkkut.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåkkut,Transitive Verb,"vt.  knock on, rap, strike with a quick, sharp blow. Dåkkut i petta. Knock on the door. Na'la'a'gang i dinakkot‑mu ya un mahunguk. Make your knocking louder so you can be heard. Dåkkut i tangkin hånum para un tungu' kåo guaha hånum gi sanhalom‑ña. Knock on the water tank to see if it has water inside. Syn: åddak, dåkdak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåkngas,Transitive Verb,"vt.  shave (the head) bald. Madåkngas si Juan anai humålum gi militåt. When Juan joined the military, his head was shaved.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dalak,Transitive Verb,"vt.  accompany, escort, follow. Hu dalak si Jose para i tenda. I followed Jose to the store. Ti ha dalak i asaguå‑ña para i tasi sa' nina'yi nu i chetnut dinalak. She did not go with her husband to the sea because she has gout. Ta fanadalak agupa'. We will be accompanying each other tomorrow. Syn: tattiyi. Variant: dálalak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dalaki,Transitive Verb,vt.  follow. Put fabot dalaki i direksion siha. Please follow the direcctions. Dalaki ha' i chalan para påpa' gi gima'. Just follow the road down to the house. Variant: dalalaki (Luta also Saipan).,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dálalak,Transitive Verb,"vt.  follow, accompany, tag along all the way. Mungnga madalalak si Jose. Do not follow Jose all the way. Dalalak si Maria asta ki måttu håo gi gima'‑måmi. Follow Maria all the way until you reach our house. Ti ya‑ña dumalalak yu' para i tenda. He doesn't like to follow me all the way to the store. Syn: tattiyi. Variant: dalak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dalalaki,Transitive Verb,"vt.  1) follow (something); trace along (something), as in drawing or a guide. Dalalaki ha' esti todu i råya sa' siempri un li'i' håfa na figura humuyong‑ña. Just trace along all those lines because you'll see what figure will emerge. Hu dalalaki ha' i plånun guput para i famagu'un. I followed the party plan for the children. 2) follow (someone's) example. Mungnga madalalaki si Juan taimanu lina'lå'‑ña. Do not follow after Juan's way of life. Syn: tattiyi. Variant: dalaki.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dålli,Transitive Verb,"vt.  1) have sexual intercourse (informal, vulgar). Ya‑ña mandålli esti na tåotåo. This person enjoys having sexual intercourse. Ilek‑ña si Maria gi kotti na ti si Juan dumålli gui'. Maria testified in court that Juan did not have sexual intercourse with her. Guaha na idåt propiu umadalli. There is an age when it is proper to have sexual intercourse. Syn: båggai, sirik, kichi (Guam), fåkkai. 2) win over, defeat (someone) at a game of skill or chance. Ha dålli todu i tammå'‑hu si Joaquin anai humugåndu ham. Joaquin easily won all of my marbles when we played. 3) tell a lie to, fool (someone). Un dålli yu' nigap, sa' ilek‑mu na para un fåttu, låo ti måttu håo. You lied to me yesterday because you said you were going to come, but you did not. Ha dålli gui' ta'lu. He made a fool of himself.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
danchi,Transitive Verb,"vt.  1) hit. Ha danchi si Juan i paluma. Juan hit the bird. Hu danchi i karetan tatå‑hu nu i atchu'. I hit my dad's car with a rock. 2) guess (something) correctly, answer (something) correctly. Hu danchi håfa si nåna para u nå'i yu' gi ha'ånin kumplihåños‑su. I guessed correctly what my mom would give me for my birthday gift. Si Rosa ha danchi umoppi i finaisin i ma'estra. Rosa answered correctly the teacher's questions.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåndan,Transitive Verb,"vt.  play (a musical instrument), ring (bell). Pairi si Jose dumåndan gitåla. Jose is a good guitar player. Håfa taimanu i piånu dandån‑ña? What does the piano sound like? Dåndan fan i kampåna. Ring the bell. See: dilingding.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dangsi,Transitive Verb,"vt.  1) stick, cause to adhere, glue. Ma dangsi i ka'ka' gi båsu. They glued the crack in the cup. I dangis kamuti ha dadangsi i kannai‑hu kada hu håli'. When I harvest the sweet potato, the sap sticks to my hand. 2) flatter, play up to.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåsai,Transitive Verb,"vt.  shear, trim, give a haircut to. Kumåti i patgun anai madåsai. The child cried when his hair was cut. Ha latchai dumåsai i floris anai nina'bubu nu i nubiå‑ña. He razed the flowers completely when he became upset with his fiancee. Manmadåsai todu i famagu'un gi iskuela sa' mannina'yi hutu. All the school children were given haircuts because they were infested with lice. Syn: låbbun, laklak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåsai adotfu,Transitive Verb,vt.  give (someone) this type of haircut. Sa'‑ña madåsai adotfu ennåo na påtgun. The adotfu haircut fits him.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåsai cha'ka,Transitive Verb,"vt.  give an erratic haircut to. Låo håyi adai dumåsai cha'ka hao? But who gave you the erratic haircut? Manhinengngang anai mali'i' na mandinasai cha'ka todu nu i batberu. They were shocked when they realized that the barber gave them an erratic haircut. Na'tunas i dinasai, sa' ti bai hu apåsi håo kumu un dåsai cha'ka yu'. You cut my hair straight or I will not pay you if you cut erratically. Variant: dåsai dadalak cha'ka.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåsai San Vicente,Transitive Verb,"vt.  give (someone) this type of haircut. Madåsai San Vicente i lahi sa' binensi ni asaguå‑ña. He was persuaded by his wife to get a San Vicente type of haircut. Ti dåkngas i taotåo lao ya‑ña madåsai San Vicente, sa' fresku. He is not bald but prefers the San Vicente type of haircut, because it is cooler. Ti mapput mafa'gåsi ilu‑ña sa' madåsai San Vicente. It is easy to wash his head because he has a San Vicente type haircut.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dasu',Transitive Verb,vt.  shift (the lead marble) when another marble is blocking the target marble in a game of marbles. Hu dasu' i bakalu‑hu. I shifted my lead marble.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dekka',Transitive Verb,"vt.  1) poke, pick (with pole or stick), nudge, pick at (nose or ears). Si Jose ha dekka' i lemmai nu i gaoli. Jose picked the breadfruit with the pole. Ha dedekka' si Tun Jose i gui'eng‑ña. Tun Jose is picking his nose. Syn: gåoli, dossuk. 2) coax, call attention to, encourage, bring up. Mungnga madekka' esti hulu'. Don't bring this up. Ha keke'dekka' yu' si Jose para bai hu dalak gui'. Jose is trying to convince me to go with him.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dekkis,Transitive Verb,vt.  1) cause to hit or strike (one small object against another). Hu dekkis i tamma' duru para u fanhålum gi raya. I struck the marbles hard so they would get to the finish line. 2) snap (one's fingers). Ha dekkis i kalulot‑ña. He snapped his fingers. See: deska.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengding,Transitive Verb,"vt.  create (for someone) a style of hairdo that is coiled, doughnut shaped, twisted in spiral shape. Atan ha' sa' madengding gapitulu‑ña si Tita kalan donat. Look, Tita's hairstyle is coiled like a doughnut. Bunitu madengdeng si Rosa sa' anåkku' gaputulu‑ña. Rosa looks beautiful in dengdeng hairstyle because she has long hair. See: akaleha'. Variant: dengdeng.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengka',Transitive Verb,"vt.  nibble (food or bait), nip, peck, pick at, scratch off, scrape off. I guihan ha dengka' i katnåda. The fish nibbled the bait. Hu dengka' i pintura gi kareta. I scraped off the paint on the car. Variant: dengkut.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengkut,Transitive Verb,"vt.  1) peck, strike with the beak. Ha dengkut yu' i ga'‑hu gåyu anai hu na'hålum gi tangkat. My pet rooster pecked me when I put him inside the cage. Mandedengkut i guihan, sa' binensi nu i ma'lak na katnåda. The fish was pecking because it was attracted by the bright bait. 2) pick at (one's food).",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengua',Transitive Verb,"vt.  phone, cable. From: Jp. denwa.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
desguas,Transitive Verb,vt.  catch (a chicken) with a pole. Para bai in fandesguas månnuk lamuna. We're going to catch chickens with a pole tonight.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
desikna,Transitive Verb,vt.  designate. Madisikna si Linda para manihåntin i ofisinan i manhobin. Linda was designated as the head of the office on youth. I gurupun istudiåntin Luta manmadisikna para u atendi i kumfirensian hinemlu'. The group of students fron Rota were designated to attend the health conference. Variant: disikna. From: Sp. designa.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
deska,Transitive Verb,"vt.  flip (with fingertip), flick (with fingertip), toss with a quick jerk, hit or strike (someone or something) with one's finger (usually from the release of the index or middle finger after binding with the thumb). I taotåo ha deska i riåt hulu' para u matungu' håyi manggånna. The man flipped the dime up to see who won. Kumu ti hu ekkunguk si tåta, siempri ha deska talanga‑hu. If I do not listen to father, he will flick my ear. Hu deska i tamma' ya malågu dies putgådas chinago'‑ña. I hit the marble and it rolled ten inches away.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
deta,Transitive Verb,"vt.  restrict (someone) from eating (a certain food), restrict (someone) to eat the minimum of (a certain food). Ma deta yu' ni manmamis na nengkanu' siha. They restricted me from eating sweet food. Sessu hu kånnu' i mantika maseha madeta yu'. I frequently eat fat even though I'm supposed to be limiting it. Un deta yu' asukat. You restricted me from sugar. Bai hu deta yu' asukat. I'm going to limit my intake of sugar. Variant: dieta. From: Sp. dieta.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
de'un,Transitive Verb,"vt.  pinch, tweak. Made'un i palåo'an nu i birak halum tånu'. The lady got pinched by the forest ghost. Dinigridu i patgun ginin i made'on‑ña. The child is bruised due to being pinched . Syn: chagga'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dibåna,Transitive Verb,"vt.  slice (bread, cake, etc.), cut (in slices). I panaderu ha dibåna i pån gi kuåttru påtti. The baker sliced the bread into four parts. Esti na se'si' måolik para mandibåna. This knife is good for slicing. Hu dibåna i fruta para i giput. I cut the fruits for the party. Madibåna potput i pån soku‑pån. The loaf of bread was sliced thickly. Variant: ribåna.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dibetti,Transitive Verb,"vt.  put (oneself) at leisure, put (oneself) at ease, make oneself free (from business). Debi di un dibetti håo gi lina'la'‑mu. You should have leisure time in your life. Bula manera ni siña un na'dibetti håo. There are many ways that you can have leisure time. Bai hu dibetti yu' ottru simåna sa' bai hu bakasion. Next week will be my leisure time because I will be on vacation. Variant: dibietti. From: Sp. divierte.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
