Term,Part of Speech,Definition,Source Details,Link to Source
chinchuli',Intransitive Verb,vi.  give a donation to. Chuminchuli' ha' lokkui' si Maria gi matai nåna. Maria also gave a donation when mother died.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chinepchup,Intransitive Verb,"vi.  be swallowed up, absorbed (passive). Chinepchup todu salappe'‑ña nu i poka. Poker swallowed up all his money. Ha na'chinepchup i machuda' hånum nu i saosåo magågu. He used the rag to absorb the spilled water. Chinepchup i fachi' nu i bomba. The puddle of water was sucked up by the pump.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chinili',Intransitive Verb,"vi.  taken, seized, grasped, clutched, snatched, grabbed (passive). Chinili' i premiu as Jose. The prize was taken by Jose. Chinili' i alåhas nu i sakki. The jewelry was snatched by the robber. I te'lang chinili' nu i ga'lågu. The bone was taken by the dog.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chinipón,Intransitive Verb,"vi.  suck something, like one's thumb. Esta gai idat låo sigi ha' chinipon. He is already of age but he keeps sucking his thumb. Mungnga mampus muyu' sa' kalan chinipopon håo. Don't pout too much because you look like you are sucking something. Manachinipopon i galagitu sa' diningu ni nanå‑ña gi paingi. The puppy is being fed with a bottle because its mother left him last night.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chispas,Intransitive Verb,"vi.  1) splatter, squirt, spurt, splash, rush out. Na'chispas i hanum gi kareta ya un fa'gåsi. Splash the water on the car and wash it. Duru chispas i hanum gi sumi' na grifu. Water is spurting from the leaky faucet. 2) spark. Guaha chispas låmlam anai kimason i halin kåndit. There was a spark when the electric cable caught fire. 3) zoom by, take off with high speed. Man chispas hulu i mannuk anai man inispånta nu i ga'lågu. The hens suddenly flew off when they were surprised by the dog. Variant: besbis, petsan.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chongka,Intransitive Verb,"vi.  play the chongka game. Pairi yu' chumongka sa' sessu hu na'kema i kuntråriu. I am an expert in chongka because I frequently collect all my opponents' shells. In the game of chongka, the players have a wood tray with several cups carved into the top of the tray; each player has a handful of marbles or small shells which they place in the cups successively until all the pieces are in the goal cup at each end. Variant: chonga. 2) the equipment used in the game of chongka, with seven shallow holes on each side and one large hole on each end.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chotchu,Intransitive Verb,"vi.  eat. Malagu' yu' chumotchu ayuyu, låo esta sen hassan. I want to eat coconut crab, but it is now very rare. Chumochotchu si Juan tininun lemmai. Juan is eating roasted breadfruit. Ngai'an na chumotchu håo? Gi kanuguan, talu'guan pat piniguan? When did you eat? Early in the morning, midday or in the evening? Variant: boka, kånnu'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chulugaigai,Intransitive Verb,"vi.  hop on one foot, shuffle on one foot, hopscotch. Båsta muchulugaigai, Jose, sa' dos addeng‑mu. Joe, stop hopping because you have two feet. Nina'chulugaigai si Tomas anai diniluk addeng‑ña ni liluk. Tomas started hopping when he stepped on a nail. Manhugågandu i famagu'un iskuela nu i huegun chulugaigai. The children at the school are playing the game of hopping. Variant: ka'diding.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chuminchulu,Intransitive Verb,vi.  fish with long nets (singular and dual realis). Pairi chuminchulu lamu'na sa' gualåfung. It is good to go net fishing tonight because it is full moon. Ha gof tungu' si Juan chuminchulu disti anai dikiki'. John really knows how to net fish since he was a child. Chuminchuchulu si tatå‑hu kada tiempun sesyun. My father nets fish during rabbit fish season. Variant: chinchulu.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
chupa,Intransitive Verb,"vi.  smoke (tobacco, cigarette or similar items). Ti siña chumupa gi halum guma' pupbliku esta. Smoking in public places is no longer allowed. Kalan chimineha si Kandido yanggin ha tutuhun chumupa. Kandido is like a chimney when he starts smoking. Ilek‑ña i mediku na na'kansit esti i chipa. The doctor said that smoking is a cause of cancer.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
då'da',Intransitive Verb,"vi.  be blamed, liable for, inherit responsibility for, face consequences for. Kumu hu yulang esti na kosas, då'da' yu'. If I break this thing, I'll pay for the consequences.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dadå'da',Intransitive Verb,"vi.  be blamed, liable for, inherit responsibility for, face consequences for. Sigi ha' ham manhugåndu, pues dadå'da' ham, sa' manatrasåo ham gi giput. We continued to play, and then we messed up, because we were late to the party. Sigi ha' gumåndu gui' gi poker, pues dadå'da' gui' sa' tåya' salappe'‑ña. He continues to play poker, then he loses out because he doesn't have any money.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dádagu,Intransitive Verb,"vi.  go north, move north (Guam); go west, move west (CNMI). Dadagu guennåo ya un atan kåo mañåda' i mannuk. Walk a little to the north and check to see if the chicken has laid an egg. Variant: ládagu.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dádalak,Intransitive Verb,"vi.  tag along, follow behind. Gef ya‑mu dumadalak para i tenda. You like to tag along to the store. Tåya' u dadalak yanggin humånåo yu'. No one is going to tag along when I leave. Meggai na famagu'un yan‑ñiha mandadalak gi as nanan‑ñiha. Many children like to tag along with their mom. Variant: dálalak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dakklak,Intransitive Verb,vi.  Dakklak kumeke'ilek‑ña pahya' pat ti klåru kumuentus. Dakklak means not enunciating or speaking clearly. Dumakklak i taotåo anai påsmu. The stroke caused the person to stutter.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dåma,Intransitive Verb,vi.  play checkers. Pairi si Jose dumåma. Jose is a good checker player. Maila' mågi ya ta dåma. Come over and let's play checkers.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dango,Intransitive Verb,"vi.  jump over, hop over. Variant: adango (Rota).",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
danña',Intransitive Verb,"vi.  gather, congregate, be together, be joined, be combined. Mandadanña' i taotåo‑ta gi tasi. Our people are congregating at the beach. Mankeke'danña' i taotåo gi metkåo sa' para uma fotma unu na gurupun lancheru. The people are trying to gather at the market to form a farmer's association. I guihan mana'fandanña' sigun gi klåsi siha. The fishes were combined according to types.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dånsa,Intransitive Verb,"vi.  dance (Guam). Dumådansa si Tan Kika'. Tan Kika' is dancing. Bunitu i musiku, pues kahulu' ya un dånsa. The music is nice, so get up and dance. Syn: baila. From: Sp. danza.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
då'us,Intransitive Verb,"vi.  defecate, have a bowel movement, have diarrhea. Dumå'us yu' anai bula hu kånnu' mantika. I had the runs when I ate a lot of fat. Siempri håo då'us yanggin sigi håo chumotchu donni'. Eventually you will have diarrhea if you keep eating hot peppers. Kulan kumeke'då'us yu', sa' bula kinanno'‑hu papåya. I am about to have diarrhea, because I ate too much papaya. Syn: masinik.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
déddigu,Intransitive Verb,"vi.  crawl on one's knees, walk on one's knees. Deddigu hålum sa' u fanlåstru i addeng‑mu. Crawl on your knees so you don't leave footprints. Ti siña åpmam para bai hu deddigu sa' puti. I cannot be on my knees too long as it is painful.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
deggu,Intransitive Verb,"vi.  tiptoe, stand on toes. Famokkat deggu sa' un mahunguk. Walk on tiptoe so nobody can hear you. Syn: le'yuk.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
deha,Intransitive Verb,"vi.  squat, crouch, sit down on one's heels. Dumedeha si Tun Manet gi halum tånu'. Tun Manet is squatting in the forest. Fandeha påpa' yanggin para in attuki i babuin halum tånu'. Crouch if you are going to hide from the wild pig. Gai minakkat dumeha sa' i inamko'‑ña. His age makes it difficult to squat. From: Sp. deja.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dellang,Intransitive Verb,"vi.  balance (oneself) while walking on a narrow bridge or rope. Dumellang yu' guatu gi ottru båndan chålan. I balanced myself across the other side of the road. Nihi ta fandellang gi ramas trongkun kamachili. Let's balance ourselves and walk on the branch of the kamachili tree. Sigi ha' dumellang guennåo esta ki un basnak ya må'pi' kihadås‑mu. Yes, go on and keep balancing yourself there until you slip and break your chin. Variant: dollan.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengha,Intransitive Verb,"vi.  bow, bend over (with head lower than hips). Dengha påpa' yanggin maloffan i Maga'låhi. Bend down when the chief passes by. Ha na'dengha yu' si Fulånu anai ha hannan yu' nu i galuti. Fulanu made me bend over when he threatened me with a stick. Denghanñaihun fan ya bai hu galoppi håo. Would you bend over so that I can jump over you. Syn: diluk, deha. Variant: dengnga.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dengnga,Intransitive Verb,"vi.  bow, bend over. Dengnga yanggin para un hokka. Bend over if you are going to pick it up. Dumengha yu' sa' mampus makkat i kestat ni hu u'uma. I bent over because of the heavy sack I was carrying. Mandedengnga i famagu'un sa' hugåndun dengnga mahugagåndu. The children were bent over because they are playing a bowing game. Variant: dengha.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
desnik,Intransitive Verb,"vi.  appear (unexpectedly), appear at a place, come to a place. Mandesnik todu i familia gi gimå'‑hu gi ma'pus na Damenggu. My family all came to my house unexpectedly last Sunday. Ai adai sa' desnik i bisinu‑hu gi giput i familia. Thank goodness my neighbor came to the family party. Desnik si Pali' Jesse gi duråntin i duttrina nigap. Father Jesse appeared unexpectedly during catechism class yesterday.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
di'åo,Intransitive Verb,vi.  play hide-and-seek. Nihi ta fandi'åo gi kantun tåsi. Let's go and play hide-and-seek by the beach. Variant: di'u.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dibåti,Intransitive Verb,"vi.  debate, quarrel, argue. Duru mandibåti gi hunta. They debated fiercely in the meeting. Dumibåti si Tun Jose yan si Tun Pedro put taimanu matånum i pipitas papåya. Tun Jose and Tun Pedro argued over how to plant papaya seeds. Ma yuti' i che'chu'‑ñiha ya mañåonåo madibåti put håyi mås måolik che'cho'‑ña. They dropped their work and joined in debating whose work is the best. Syn: atgumentu. From: Sp. debate.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dibuha,Intransitive Verb,"vi.  play croquet. Håfa taimanu tungo'‑ña si Juana na mandibuha i manamigå‑ña na ha'åni? How did Juana know that her girlfriends played croquet today? Ti gustun‑ñiha mandibuha, låo manhugåndu para u makumplåsi si nang. They really don't care for croquet games, but they played to please mom.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
digeru,Intransitive Verb,vi.  cheat. Para u digeru ta'lu si Juan gi batu. Juan is going to cheat again at the batu game. Variant: dugeru.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dílingding,Intransitive Verb,"vi.  ring, chime. Dumililingding i kampånan guma' yu'us. The church bell is ringing. Kada dumilingding i hugeti, chakka' chalek‑ña i neni. Every time the toy chimes, the baby cracks up laughing.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
diluk,Intransitive Verb,"vi.  1) bow, bend, prostrate, tilt. Dumiluk yu' para bai hu li'i' håfa poddung gi papa' lamasa. I bent down to see what fell under the table. Na'diluk i hara ya un na'bula i taså‑hu kafe. Tilt the pitcher and fill my coffee mug. Guaha na kustumbrin tåotåo mandidiluk para u fanmannå'i rispetu. Some cultures bow to show respect. Syn: dengha, tekkun. 2) humiliated, shamed. Mungnga yu' mana'diluk gi me'nan tåotåo. Don't humilate me in front of people. Dumångkulu ha' yu' ya ti hu na'diluk si nanå‑hu matå‑ña. I became an adult without ever shaming my mother.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
diluk cha'ka,Intransitive Verb,"vi.  1) have one's head upside down. Dumiluk cha'ka i hobinsitu singku minutus sin paråt. The young man stood on his head for five minutes without stopping. Båsta dumiluk cha'ka sa' un chetnudan. Stop standing on your head or you will get hurt. 2) knocked down, overpowered. Famatkilu pachot‑mu sa' hu na'diluk cha'ka håo. Shut your mouth or I'll knock you down. Siempri hu na'diluk cha'ka håo kumu sigi ha' yu' un kassi. For sure I'll knock you down if you keep teasing me. Syn: sakadåtchi', salamångka.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dimu,Intransitive Verb,"vi.  kneel, bend the knees. Mandimu ya manmanaitai i taotåo mås di una ora. The people knelt and prayed for more than an hour. Dimu påpa' ya un fanggågåo asi'i. Kneel down and ask for forgiveness. Esta si nanan biha ti siña dumimu sa' puti temmon‑ña. Grandmother can no longer kneel because her knees hurt.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dinalak,Intransitive Verb,"vi.  1) be followed, be accompanied (passive). Sessu dinalak i patgun nu i ga'lågu para i iskuela. The dog often follows the child to school. Måolekña un dinalak gi as Maria kini as Rita sa' mås bumuchåcha si Maria. It is better if Maria accompanies you to work because she is more diligent than Rita. 2) (of illness) be transferred from a patient to a healer (cultural belief), (of a person) be affected by spirits. Guaha na mana'amti ma adadahi siha na u fandinalak nu i chetnut i ma'å'amti. Some healers are cautious of transference of illness from their patients to them. Nina'yi i neni chetnut dinalak chetnut maipi. The baby contracted illness caused by spirits. Nina'yi ta'lu chetnut dinalak, sa' malak i halum tånu'. He had symptoms of spirits affecting him again, because he went into the forest. Variant: dinálalak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dinálalak,Intransitive Verb,"vi.  being possessed by spirits (passive). Ginin mandinálalak i famagu'un ni ispiritun i tasi. The children were possessed at one time by the spirit of the sea. Ginin manmadálalak ham, sa' ti in rispeta i halum tånu'. We were at one time possessed by spirits, because we did not respect the forest. Variant: dinalak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dinanchi,Intransitive Verb,vi.  be hit (passive). Dinanchi i kareta ni atchu' ya kå'ka' i ispehus. The windshield cracked when the ball hit the car. Mandinanchi ilun‑ñiha ni mangga anai manmatåta'chung gi papa' trongku. The mango fell on their heads while they were sitting under the tree.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dinga',Intransitive Verb,"vi.  separate into two, fork. Umabak si Beck sa' duminga i chalan para i gima' amigå‑ña. Beck missed her way to her friend's house because the road separated into two.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
disbela,Intransitive Verb,"vi.  stay awake, lose sleep. Guaha malångu gi familia, ya mandisbela ham. There is someone sick in the family, and we lost sleep. Disbela yu' ni bulan chi'cho'‑hu gi paingi. I had so much work last night that I didn't get enough sleep. Mandisbela ham gi paingi. We stayed awake last night. Variant: disbelu. From: Sp. desvela.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
disbelu,Intransitive Verb,"vi.  stay awake, lose sleep. Mandisbelu i danderu, sa' ma nanangga i risuttan i kumpitensian‑ñiha. The musicians stayed awake, because they were waiting for the results of their competition. Hånåo ya un diskånsa ya mungnga dumisbelu. Go and rest and don't stay up all night. Variant: disbela. From: Sp. desvelo.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
disdicha,Intransitive Verb,"vi.  encounter misfortune, be destroyed, encounter disaster. Mampus disdicha anai kimason i gima'‑måmi. It was a misfortune when our house burned down. Ginin i milak hånum na dumisdidicha i gima' tåotåo yan i tinanum gi gualu'. As a result of the flood, the homes and crops were destroyed. I tirenun chandiha disdicha anai måttu i dangkulu na mattempu. The watermelon crop was a disaster when the bad weather came. From: Sp. desdicha.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
disgrasiåo,Intransitive Verb,"vi.  get into an accident, be in a state of disgrace. Grasias a Dios sa' ti mandisgrasiåo hamyu! Thank god because you did not get into an accident! Dumisgrasiåo si Fulåna sa' mapotgi' sin umasagua. Fulana fell into an accident because she got pregnant without being married. Syn: aksidenti. From: Sp. desgraciado.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
diskånsa,Intransitive Verb,"vi.  1) rest, repose, sleep, slumber, relax, take a break. Hu li'i' na dumiskånsa ennåo na tåotåo. I saw that man has rested. Diskånsa yanggin yayas håo. Take a break if you are tired. Yayas yu' mamokkat, pues dumiskånsa yu' gi papa' trongkun niyuk. I was tired walking, so I rested under the coconut tree. 2) die, be dead. Dumiskånsa i malångu na palåo'an. The sick woman died. Atdit pinadesi‑ña i palåo'an nu i chetnot‑ña; po'lu sa' esta dumiskånsa. The woman suffered from her illness; now she is at peace. Mana'diskånsa i ga'lågu sa' mampus mamadedesi. The dog was suffering so they put it to sleep. Syn: måtai, maigu' diskånsu. From: Sp. descansa.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dismurón,Intransitive Verb,"vi.  daydream, not pay attention. I istudiånti mandismurón gi istudiun‑ñiha. The students are not focused on their studies. Aksidenti si Jose sa' dumismurón gi sinigon‑ña. Jose had an accident because he was not paying attention to his driving. Båsta dumismurón gi duråntin i misa. Stop daydreaming during mass.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dódichan,Intransitive Verb,"vi.  go south (Northern Marianas); go west (Guahan). Nihi ta fandodichan guatu San Antonio ya ta fangguput. Let's go south to San Antonio and attend the party. I pakyu dódodichan Tinian ginin Saipan. The typhoon is heading south to Tinian from Saipan. In Saipan, luchan is south and in Guam, luchan is west. Variant: lódichan.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
do'du',Intransitive Verb,"vi.  fart, break wind. Gotpi mutung, håyi do'du'? Suddently there is a stinky smell, who farted? Minanglu' si Rosa ya sigi do'du'. Rosa keeps farting because she has gas. Kumu sigi håo chumotchu dokduk, siña hao ha' sigi dumo'du'. If you keep eating dokduk nut, you may be farting a lot.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dokku',Intransitive Verb,"vi.  sprout, shoot forth, germinate, come up. Dokku' i nifen‑ña i neni. The baby's teeth came out. Mano'o' i gayu åntis di u dokku' i atdåo. The roosters crowed before the sunrise. Gi månu na lanchu ni para un na'fandokku' i mangga? In which farm will you grow your mango? Syn: la'chuk.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dollan,Intransitive Verb,"vi.  balance (oneself) while walking on a tightrope or bridge. Mandollan ham gi pi'åo gi hilu' i milak. We balanced on the bamboo over the stream. Mungnga dumollan gi tali, sa' un poddung. Don't balance on the rope, because you might fall. Manmåolik i famagu'un mandollan. Childen are good at balancing. Variant: dellang.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
donggat,Intransitive Verb,"vi.  glow and light up. Atan, sa' dodonggat. Look, it's glowing.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dotchun,Intransitive Verb,"vi.  penetrate, thrust in, stick in. Dotchun i liluk gi taia' bisikiletå‑hu. The nail stuck in the tire of my bicycle. Dotchun i tekcha' gi tatalu' i tataga'. The spear penetrated the back of the unicorn fish. Hu sienti anai dotchun i haguha gi talanga‑hu. I felt it when the needle was pierced into my ear lobe.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dotgan,Intransitive Verb,"vi.  penetrated, penetrated out. Dotgan i te'lang gi lassas. The bone penetrated the skin. Dotgan i pachingku' gi tataga'. The spear penetrated the fish. Dotgan i liluk gi addeng‑hu. The nail penetrated my foot.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
duda,Intransitive Verb,"vi.  doubt, be uncertain, doubtful, equivocal, dubious. Duda yu' kåo nahung gimin para i giput. I doubt whether there are enough drinks for the party. Ti siña ta fa'tinas i disisión sa' dududa ha' si Jose. We cannot make a decision because Jose is still uncertain. Mungnga duda nu guåhu. Don't be doubtful of me. From: Sp. duda.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dugeru,Intransitive Verb,vi.  cheat. Para u digeru ta'lu si Juan gi batu. Juan is going to cheat again at the batu game. Variant: digeru.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
dusan,Intransitive Verb,"vi.  suffer. I ti umosgi finu' åmku', dusan na anåkku'. If you don't obey the elders, then you will suffer for life. Dusan yu' på'gu sa' ha dingu yu' i guinaiyak‑ku. I am suffering because my lover left me. Variant: famadesi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
echóngñaña,Intransitive Verb,"vi.  be at the side of, be around, belonging to a side. Bai hu echongñaña gi gima' Juan. I will be around Juan’s house. Debi di un echóngñaña gi un lugåt. You must be at one side. Na'echóngñaña håo gi as Maria. Be at Maria’s side. Derived by reduplication from echongña.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
édipuk,Intransitive Verb,"vi.  fish in tidal pools, fish from a cliff from a tidal pool. Måolik na må'ti på'gu na ha'åni, pues hånåo ya un edipuk. The low tide today is good, so go and fish in the tidal pools. Si Tan Ichang sen ya‑ña umedipuk. Elder Ichang loves to fish in pools created by low tide. Ti parehu siha na klåsin guihan yanggin umedipuk håo pat chumenchulu håo. Fish caught when fishing in tidal pools is different from those caught with net.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
égaga',Intransitive Verb,"vi.  get busy, do something about whatever the situation may be; make oneself available, prepare oneself, be ready, be poised to do something, be aware for. Égaga' ya un tungu' manrispeta. Make yourself available to learn how to respect. Égaga' ya un gai rispetu. Get busy and have some respect. Égaga' ya båsta kumuentus put tåotåo. Make yourself availlable to stop talking about people.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
égagåo,Intransitive Verb,"vi.  beg, live on charity, ask, as a form of begging, solicit, appeal. Ume'egagåo gui' nengkanu'. He is asking for food. Lumala'la' sa' ume'egagåo gi taotåo siha. He is living because he is begging from people. Båsta umégagåo, sa' na'mamahlåo. Stop asking for something from anybody, because it is embarrassing. Manegagåo ayudu ginin i kumunidat put para mahåtsa i sagan manåmku'. They solicited assistance from the community to build the place for the elders.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
egging,Intransitive Verb,"vi.  slanted, sloping, tilting, inclined, not level. Egging i lamasa. The table is tilted. Na'tunas esti, sa' ume'egging. Make this straight, because it is slanting. Adahi i pinikkat‑mu, sa' egging i satgi. Watch your steps, because the floor is not level.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
é'guihan,Intransitive Verb,"vi.  go fishing, go look for fish. Nihi ta é'guihan. Let’s go fishing. Nihi ta fané'guihan. Let’s go look for fish. Manhånåo mané'guihan gi bantalan. They went fishing at the pier.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
éhinassu,Intransitive Verb,"vi.  unthoughtful) dull, lacking in brains. Ti måolik i ehinasson‑ña si Jack. Jack’s thinking is dull.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
é'kahat,Intransitive Verb,"vi.  slow down, linger, quietly. E'kahat bumuruka sa' mamaigu' i neni. Slow down because the baby is sleeping. E'kahat sa' siempri manå'i håo ni malago'‑mu. Linger around and you will get what you want. E'kahat mama'pairi. Slow down showing off. Variant: e'kat, e'kakat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
é'kakat,Intransitive Verb,"vi.  walk or talk carefully and slowly; not to be noticed; in planning to do something, proceed cautiously. Gof ya‑ña si Henry ume'kakat an måttun atrasåo gi tatalu'puengi. Henry likes to walk carefully and slowly so that he is not noticed when he comes late at night. Umekakat i katu yanggin para u fanggacha' chå'ka. The cat walks slowly and carefully if it's going to catch the rat. I asaguå‑ña si Anita sessu ume'kakat yanggin para u falågu para i bar. Anita's husband often walks slowly and carefully out of the door if he's going to run to the bar. E'kakat fan hålum ya un engngulu' kåo gaigi i taotåo gi hiyung guma'. Walk quietly in and peek if the man is outside the house. Mane'kakat i sakki sa' putno u fanmagacha'. The robbers walked stealthily so that they will not be caught.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
e'kat,Intransitive Verb,"vi.  slow, slacken speed, reduce speed, take it easy, walk stealthily. E'kat dumudus. Take it easy with your flirting. E'kat gi famokkåt‑mu. Slow down in your working. E'kat fan ya bai hu gacha' håo dididi'. Slow down so that I can catch up with you a bit. Syn: dispåsiu. Variant: é'kahat, é'kakat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ékkulu',Intransitive Verb,"vi.  climb up, get on top of. Umekkulu' i patgun gi trongku. The child climbed up the tree. Håyi sumedi i patgun na u ekkulu' gi lamasa? Who allowed the child to get on top of the table? I katu umekkulu' gi hilu' guma'. The cat climbed up on top of the house. Syn: feddus, kahulu'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
eksisti,Intransitive Verb,"vi.  exist. Tåotåo, gå'ga', yan tinanum umeksisti gi tanu'. åxe People, animals, and plants exist on earth. I dinosor esta ti umeksisti gi tanu'. The dinosaurs no longer exist on earth. Atman umeksisti esti i pinadesi‑hu. My sufferings existed for a long time. From: Sp. existe.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ensåhi,Intransitive Verb,"vi.  hitch a ride. Gai piligru um ensåhi. Hitching a ride can be dangerous. Håyi muna'ensåhi håo? Who did you hitch a ride with? Tåya' kareta‑ñiha, pues manensåsahi ha'. They do not have a car, so they always hitch-hike.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
énsahi,Intransitive Verb,"vi.  hurry, walk fast. Nihi ta ensahi. Let's hurry Håfa na ume'ensahi håo? Why are you in a hurry?",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
énsinahyåo,Intransitive Verb,"vi.  hurry up, walk fast (imperative, used when addressing a group). Esta hit manatrasåo, ensinahyåo. We’re late, hurry up! See: láchaddik.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
éntalu',Intransitive Verb,vi.  meddle. Båsta umentalu' gi prubleman ottru tåotåo. Stop meddling in other people’s problems. Ya‑mu umentalu' gi gurupu. You like to meddle in the group. Sessu si Lucia umentalu' gi entalu' lalåhi. Lucia often meddles in the boys' business.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
eramienta,Intransitive Verb,"vi.  look for tools. Eramienta gi soku. Look for tools in the shed. Si Joe ume'eramienta gi tenda. Joe looked for tools at the store. Variant: ramienta, eramenta.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
